Construct,Color_max,Peak_max,Peak_max_std,Std_state_max,Std_state_max_std,Kinetics,Kinetics_std,Peak_green_ratio,Std_state_green_ratio,n_max,Peak_red,Peak_red_std,Std_state_red,Std_state_red_std,n_red,Peak_green,Peak_green_std,Std_state_green,Std_state_green_std,n_green,Peak_cyan,Peak_cyan_std,Std_state_cyan,Std_state_cyan_std,n_cyan,ss_red,ss_red_std,ss_green,ss_green_std,ss_teal,ss_teal_std,ss_cyan,ss_cyan_std,ss_blue,ss_blue_std,ss_violet,ss_violet_std
n38,VC_cyan,-260.870758057,109.436112005,-173.618419647,73.9427772523,11.725,2.19928965805,0.189876471342,0.184279625346,4,-9.81674098967,2.06566311759,-0.504770676295,0.321240846814,3,-48.0200481415,18.5400013655,-36.3102931976,21.0384962777,3,-260.870758057,109.436112005,-173.618419647,73.9427772523,4,0.00304001068641,0.00178384806054,0.184227815089,0.0292059659134,0.521848042134,0.101952847349,0.999718849777,0.000397606458458,0.836367133434,0.116081583726,0.588423133057,0.0948428539816
n48,VC_cyan,-1245.72166952,364.213011908,-1023.76640828,301.067510779,73.95,16.1400898387,0.131830516948,0.154375167525,6,-7.78784108162,0.474844252868,-0.328368961811,0.200527696165,4,-169.462417602,59.7358780942,-160.449116516,59.9218585472,5,-1245.72166952,364.213011908,-1023.76640828,301.067510779,6,0.000407364627528,0.000254187894923,0.154375167525,0.0182915088422,0.39289394638,0.235123790022,1.0,0.0,0.720660081644,0.0801509326201,0.485429904958,0.269213813865
n45,VC_cyan,-741.276150703,541.3841616,-463.608837605,329.452028409,15.25625,7.51631298826,0.0720953313333,0.0934412378149,16,-9.55772018432,2.08568123278,-0.382281494141,0.605512332581,5,-53.2951962948,19.8367261191,-44.2450888157,20.1590311245,8,-741.276150703,541.3841616,-463.608837605,329.452028409,16,0.000556014751274,0.000836158218803,0.0809579640218,0.0266219222011,0.477254730742,0.0903896462936,0.866405089606,0.116536010372,0.762637456307,0.164679205777,0.603918493931,0.114314172995
n14,VC_cyan,-24.5054221153,12.5991360815,-7.09050536156,5.34645394223,2.75,3.14761814711,0.493625542625,0.465932546508,4,-18.683268547,0.62843227385,-0.32304286957,1.39476108551,2,-17.9813804627,4.52075195315,-5.1644859314,0.00256729126,2,-24.5054221153,12.5991360815,-7.09050536156,5.34645394223,4,0.0502079184593,0.13072180168,0.465932546508,0.0777525999725,0.147136987435,0.532208082915,1.0,0.0,0.407533601192,0.270224006855,0.0768646875732,0.237403830209
n52,VC_cyan,-30.5168247223,2.20837883626,-21.4597229004,1.96295647648,727.1,145.354821041,0.467743301562,0.24788604221,5,-8.4566321373,0.33368062973,0.165253669024,0.002442330122,2,-14.0057029724,0.4547748566,-5.14034843445,0.32000923157,2,-30.5168247223,2.20837883626,-21.4597229004,1.96295647648,5,-0.00742816872847,0.000173245713373,0.23090706708,0.0124081391516,0.453735236899,0.363927604446,0.931504916621,0.0684950833792,0.782482362706,0.217517637294,0.354010183233,0.212883990122
iC1++,VC_cyan,-526.033294678,251.083666236,-388.628438314,211.509599622,25.2666666667,14.9337053525,0.315042839415,0.376121481235,3,-10.5431671142,1.28993225096,-0.201493263245,0.722792625428,2,-205.561800003,139.027844968,-195.637178421,138.714615333,4,-526.033294678,251.083666236,-388.628438314,211.509599622,3,-0.000185281980051,0.00148800647088,0.326985177248,0.144255804287,0.673448948119,0.19018973038,0.869360548551,0.0854877698766,0.768877387042,0.231122612958,0.600076436596,0.231247861325
n2,VC_green,-61.1298156738,43.1751308207,-41.8337440491,31.4065678981,34.48,20.6516246334,1.0,0.953481215384,5,-16.230802536,4.80548322951,-7.60588073729,4.38471043102,3,-61.1298156738,43.1751308207,-41.8337440491,31.4065678981,5,-59.6063054403,24.2397959058,-47.5853945414,23.5357444005,3,0.150188109901,0.0519692983276,0.849269909885,0.118321688856,0.586816426,0.186475992459,0.890704395832,0.0794106655593,0.500511196879,0.0687394248424,0.344050179775,0.0763891868227
n5,VC_cyan,-138.218334198,99.3879402917,-76.752644539,61.498692499,30.7,16.2362249307,0.156099301805,0.0863394691352,4,-10.1581611634,0.710208892845,-1.37911224365,0.02855682373,2,-21.3289388021,5.33010505996,-11.6058247884,4.37474485497,3,-138.218334198,99.3879402917,-76.752644539,61.498692499,4,0.0150976166093,0.00782329652917,0.0863394691352,0.0112322503269,0.618384979422,0.00814488341195,0.844054252625,0.0923450247763,1.0,0.0,0.681507277298,0.0299167171257
n6,VC_cyan,-248.352626038,88.0956979976,-138.351200867,55.139051326,14.0,2.05134102479,0.145366780105,0.177638246877,5,-9.34668731689,0.975206372687,-0.42086537679,0.443567469975,3,-34.9366307258,12.2481215553,-24.7534675598,11.0551640078,4,-248.352626038,88.0956979976,-138.351200867,55.139051326,5,0.00199703083904,0.00246668661366,0.171664840763,0.0143333139693,0.556821241512,0.0682298398308,0.966373198228,0.0475554791246,0.737032999947,0.109985338137,0.50570754911,0.0659418438763
n10,VC_cyan,-1789.15689087,861.791180143,-1225.03941345,661.360381811,147.65,78.3280441477,0.365005625326,0.52304249368,4,-12.4440196355,2.51516215362,-2.83151276906,1.29379024626,3,-820.880208334,271.438833297,-807.219553628,268.610345538,3,-1789.15689087,861.791180143,-1225.03941345,661.360381811,4,0.00174202919627,0.000503737444621,0.52304249368,0.0310840113218,0.603327587673,0.0249761665311,1.0,0.0,0.724698245577,0.0454226749916,0.665204437446,0.0551035425365
