code,n_mutations
n0000220201,57
c0000220201,65
n0000220202,59
c0000220202,62
n0000220210,60
c0000220210,53
n0000220211,68
c0000220211,73
n0000220212,70
c0000220212,70
n0000220220,58
c0000220220,61
n0000220221,66
c0000220221,81
n0000220222,68
c0000220222,78
n0000221000,78
c0000221000,52
n0000221001,82
c0000221001,72
n0000221002,88
c0000221002,69
n0000221010,79
c0000221010,60
n0000221011,71
c0000221011,80
n0000221012,77
c0000221012,77
n0000221020,87
c0000221020,68
n0000221021,87
c0000221021,88
n0000221022,93
c0000221022,85
n0000221100,82
c0000221100,58
n0000221101,78
c0000221101,78
n0000221102,84
c0000221102,75
n0000221110,75
c0000221110,66
n0000221111,67
c0000221111,86
n0000221112,73
c0000221112,83
n0000221120,91
c0000221120,74
n0000221121,83
c0000221121,91
n0000221122,89
c0000221122,84
n0000221200,89
c0000221200,62
n0000221201,88
c0000221201,82
n0000221202,94
c0000221202,79
n0000221210,85
c0000221210,70
n0000221211,77
c0000221211,90
n0000221212,83
c0000221212,87
n0000221220,98
c0000221220,78
n0000221221,93
c0000221221,83
n0000221222,94
c0000221222,76
n0000222000,70
c0000222000,52
n0000222001,78
c0000222001,72
n0000222002,80
c0000222002,69
n0000222010,81
c0000222010,60
n0000222011,89
c0000222011,80
n0000222012,88
c0000222012,77
n0000222020,79
c0000222020,68
n0000222021,78
c0000222021,83
n0000222022,72
c0000222022,76
n0000222100,74
c0000222100,58
n0000222101,82
c0000222101,78
n0000222102,80
c0000222102,75
n0000222110,85
c0000222110,66
n0000222111,93
c0000222111,86
n0000222112,87
c0000222112,83
n0000222120,81
c0000222120,74
n0000222121,77
c0000222121,81
n0000222122,71
c0000222122,74
n0000222200,80
c0000222200,62
n0000222201,76
c0000222201,82
n0000222202,70
c0000222202,79
n0000222210,87
c0000222210,70
n0000222211,83
c0000222211,90
n0000222212,77
c0000222212,84
n0000222220,71
c0000222220,78
n0000222221,67
c0000222221,73
n0000222222,61
c0000222222,66
n0001000000,3
c0001000000,9
n0001000001,11
c0001000001,29
n0001000002,13
c0001000002,26
n0001000010,14
c0001000010,17
n0001000011,22
c0001000011,37
n0001000012,24
c0001000012,34
n0001000020,12
c0001000020,25
n0001000021,20
c0001000021,45
n0001000022,22
c0001000022,42
n0001000100,7
c0001000100,15
n0001000101,15
c0001000101,35
n0001000102,17
c0001000102,32
n0001000110,18
c0001000110,23
n0001000111,26
c0001000111,43
n0001000112,28
c0001000112,40
n0001000120,16
c0001000120,31
n0001000121,24
c0001000121,51
n0001000122,26
c0001000122,48
n0001000200,14
c0001000200,19
n0001000201,22
c0001000201,39
n0001000202,24
c0001000202,36
n0001000210,25
c0001000210,27
n0001000211,33
c0001000211,47
n0001000212,35
c0001000212,44
n0001000220,23
c0001000220,35
n0001000221,31
c0001000221,55
n0001000222,33
c0001000222,52
n0001001000,43
c0001001000,26
n0001001001,51
c0001001001,46
n0001001002,53
c0001001002,43
n0001001010,54
c0001001010,34
n0001001011,62
c0001001011,54
n0001001012,64
c0001001012,51
n0001001020,52
c0001001020,42
n0001001021,60
c0001001021,62
n0001001022,62
c0001001022,59
n0001001100,47
c0001001100,32
n0001001101,55
c0001001101,52
n0001001102,57
c0001001102,49
n0001001110,58
c0001001110,40
n0001001111,66
c0001001111,60
n0001001112,68
c0001001112,57
n0001001120,56
c0001001120,48
n0001001121,64
c0001001121,68
n0001001122,66
c0001001122,65
n0001001200,54
c0001001200,36
n0001001201,62
c0001001201,56
n0001001202,64
c0001001202,53
n0001001210,65
c0001001210,44
n0001001211,73
c0001001211,64
n0001001212,75
c0001001212,61
n0001001220,63
c0001001220,52
n0001001221,71
c0001001221,72
n0001001222,73
c0001001222,69
n0001002000,35
c0001002000,26
n0001002001,43
c0001002001,46
n0001002002,45
c0001002002,43
n0001002010,46
c0001002010,34
n0001002011,54
c0001002011,54
n0001002012,56
c0001002012,51
n0001002020,44
c0001002020,42
n0001002021,52
c0001002021,62
n0001002022,54
c0001002022,59
n0001002100,39
c0001002100,32
n0001002101,47
c0001002101,52
n0001002102,49
c0001002102,49
n0001002110,50
c0001002110,40
n0001002111,58
c0001002111,60
n0001002112,60
c0001002112,57
n0001002120,48
c0001002120,48
n0001002121,56
c0001002121,68
n0001002122,58
c0001002122,65
n0001002200,46
c0001002200,36
n0001002201,54
c0001002201,56
n0001002202,56
c0001002202,53
n0001002210,57
c0001002210,44
n0001002211,65
c0001002211,64
n0001002212,67
c0001002212,61
n0001002220,55
c0001002220,52
n0001002221,63
c0001002221,72
n0001002222,65
c0001002222,69
n0001010000,20
c0001010000,30
n0001010001,28
c0001010001,50
n0001010002,30
c0001010002,47
n0001010010,31
c0001010010,38
n0001010011,39
c0001010011,58
n0001010012,41
c0001010012,55
n0001010020,29
c0001010020,46
n0001010021,37
c0001010021,66
n0001010022,39
c0001010022,63
n0001010100,24
c0001010100,36
n0001010101,32
c0001010101,56
n0001010102,34
c0001010102,53
n0001010110,35
c0001010110,44
n0001010111,43
c0001010111,64
n0001010112,45
c0001010112,61
n0001010120,33
c0001010120,52
n0001010121,41
c0001010121,72
n0001010122,43
c0001010122,69
n0001010200,31
c0001010200,40
n0001010201,39
c0001010201,60
n0001010202,41
c0001010202,57
n0001010210,42
c0001010210,48
n0001010211,50
c0001010211,68
n0001010212,52
c0001010212,65
n0001010220,40
c0001010220,56
n0001010221,48
c0001010221,76
n0001010222,50
c0001010222,73
n0001011000,60
c0001011000,47
n0001011001,68
c0001011001,67
n0001011002,70
c0001011002,64
n0001011010,71
c0001011010,55
n0001011011,72
c0001011011,75
n0001011012,78
c0001011012,72
n0001011020,69
c0001011020,63
n0001011021,77
c0001011021,83
n0001011022,79
c0001011022,80
n0001011100,64
c0001011100,53
n0001011101,72
c0001011101,73
n0001011102,74
c0001011102,70
n0001011110,75
c0001011110,61
n0001011111,68
c0001011111,70
n0001011112,74
c0001011112,77
n0001011120,73
c0001011120,69
n0001011121,81
c0001011121,88
n0001011122,83
c0001011122,86
n0001011200,71
c0001011200,57
n0001011201,79
c0001011201,77
n0001011202,81
c0001011202,74
n0001011210,82
c0001011210,65
n0001011211,78
c0001011211,78
n0001011212,84
c0001011212,82
n0001011220,80
c0001011220,73
n0001011221,88
c0001011221,93
n0001011222,90
c0001011222,90
n0001012000,52
c0001012000,47
n0001012001,60
c0001012001,67
n0001012002,62
c0001012002,64
n0001012010,63
c0001012010,55
n0001012011,71
c0001012011,75
n0001012012,73
c0001012012,72
n0001012020,61
c0001012020,63
n0001012021,69
c0001012021,83
n0001012022,71
c0001012022,80
